"caminho","categoria","formato","bytes","sha256","titulo"
"apps/docs/content/_partials/_fixtures/hyphenated-variables.mdx","_partials","mdx","74","7729b53f39eacaa23b8b55cd4cd516373421271a8417b2de9318519475cb6c19",""
"apps/docs/content/_partials/_fixtures/multiple-variables.mdx","_partials","mdx","61","bf604f3a7cef59782b138a7ea52cb91b6bb924b49c0f2e889c64516bfb4f9fbe",""
"apps/docs/content/_partials/_fixtures/nested1.mdx","_partials","mdx","96","069862aabe07f420dc4ed2b565581e3bf1516b41e1e363175abfe31c2cf91d3d",""
"apps/docs/content/_partials/_fixtures/nested2.mdx","_partials","mdx","26","81fd1b1dbb1cb43b04a693314bfd39ce6a89de35989a377e4e25c9afb8d237ff",""
"apps/docs/content/_partials/_fixtures/test.mdx","_partials","mdx","696","f4279228cc009d3cc07f660b60ae194ebd53e6c35056d9697aa0d503bf42c383",""
"apps/docs/content/_partials/_fixtures/variables.mdx","_partials","mdx","44","d611c5047750e28560abbd44115c83983d0ee6461f0750379fb1457bf5c423f1",""
"apps/docs/content/_partials/ai/quickstart_hf_deployment.mdx","_partials","mdx","329","76d6051450c7d4a35c1032580cbb317b42900c1b570d59ef3e60e4bf4dc58db1",""
"apps/docs/content/_partials/api_keys_deprecation.mdx","_partials","mdx","1191","d6467510389be4bbdc68cb2673ceb5f0a8c86193ea4b4f3eafd2f1ac8ad0e325",""
"apps/docs/content/_partials/api_rate_limits.mdx","_partials","mdx","5630","bacc67c28cc1eff0a16199f8821509d16829e6a5dcc458099b6fa5bf0bf4b4bb",""
"apps/docs/content/_partials/api_settings.mdx","_partials","mdx","622","b1639e53bb4985a6face1520a4df7de3ac2ac86903fa765347197e00c758d9bf",""
"apps/docs/content/_partials/auth_methods.mdx","_partials","mdx","1732","092b2ca206fbd3beabbaf9aa200d0f34a2250c9b53e97cbd02362204e4b39d37",""
"apps/docs/content/_partials/auth_rate_limits.mdx","_partials","mdx","5599","e8d7fe3803cf3364969b03fa8d85256690c6be76ab355bfa0d03bd61b8b503a5",""
"apps/docs/content/_partials/billing/exceeding_usage_quotas.mdx","_partials","mdx","512","c40b7c94a0b24f6b9f22e4b301bd958ab9c3dc76c5d72b6406de7991ea41bf7b",""
"apps/docs/content/_partials/billing/pricing/pricing_branching.mdx","_partials","mdx","180","649691026f5819f479cfff9332bc7e1394fcd61736ea3dc0968b067818a002a2",""
"apps/docs/content/_partials/billing/pricing/pricing_custom_domains.mdx","_partials","mdx","166","f629e1778e01b923d70d650111fc5b3bc95b5aba21a4d9aacb917b7664fa8a32",""
"apps/docs/content/_partials/billing/pricing/pricing_edge_functions.mdx","_partials","mdx","580","43703f8f677ac3ef3151a4d37c1256844b8e6c3b71200fa226341e340bee7d50",""
"apps/docs/content/_partials/billing/pricing/pricing_ipv4.mdx","_partials","mdx","147","5528ed0c75809f55d02bbb6cf7685664ec00f5c994f719b2d93b037ee22c873d",""
"apps/docs/content/_partials/billing/pricing/pricing_logs_ingest.mdx","_partials","mdx","408","c0c93ca053706db769d3a3fc6d6a2a92b1215759aedd7df1e4afd56233f128ed",""
"apps/docs/content/_partials/billing/pricing/pricing_logs_query.mdx","_partials","mdx","427","56f9d3237e9d8df0192c29c866af5c0ab82fa2cdca6de4a49c4e1730ffab60e2",""
"apps/docs/content/_partials/billing/pricing/pricing_mau_sso.mdx","_partials","mdx","301","8dd837cba7f784742066627ae1ecbba644b5c742be0737e0d503ec86afb4a87b",""
"apps/docs/content/_partials/billing/pricing/pricing_mau_third_party.mdx","_partials","mdx","327","c683f29180a1ec19179703bf01ed1a4fb3d85240ea23849fcb944828e8126df0",""
"apps/docs/content/_partials/billing/pricing/pricing_mau.mdx","_partials","mdx","110","083b0f95a5777adfb13bf1ba4786607bbac085bc173d5914b0baf2531eb5a0d5",""
"apps/docs/content/_partials/billing/pricing/pricing_mfa_phone.mdx","_partials","mdx","793","b163f2492ea1464055fd844f6b38e45fd691687a6d4f5527d8ed0483503da056",""
"apps/docs/content/_partials/billing/pricing/pricing_pipelines.mdx","_partials","mdx","1336","54850bfc510f3ab9b94f9b22331781e5e567289f396acd1950c919519db4cf26",""
"apps/docs/content/_partials/billing/pricing/pricing_pitr.mdx","_partials","mdx","799","695851e49c9cf5fed78245366ed4652c1fef606ab58a5e18b0c006aa5c9ee16f",""
"apps/docs/content/_partials/billing/pricing/pricing_realtime_connections.mdx","_partials","mdx","576","0035c464f955ea99bda4bd6f938c2af540c17c2cc82ab4c1e6b8877cfbe03924",""
"apps/docs/content/_partials/billing/pricing/pricing_realtime_messages.mdx","_partials","mdx","580","585e006fee32ffe9a92a15606fd15b3cf4ce74ea775b6621a744181330b7266b",""
"apps/docs/content/_partials/billing/pricing/pricing_storage_image_transformations.mdx","_partials","mdx","763","d261b4227d0ab4fc882027d87d6b86f548628db65f30cdf95f62deb41e4ffe5f",""
"apps/docs/content/_partials/billing/pricing/pricing_storage_size.mdx","_partials","mdx","797","ccfabe6d7a2a02cbf8d40ddee9b46be9d563bf445780506a11dd3f246d2300a1",""
"apps/docs/content/_partials/cost_warning.mdx","_partials","mdx","486","b71346d5417c7502b6febb1099364dd9286dc7b8ac65f8d1a74d0a9c8160060e",""
"apps/docs/content/_partials/create_client_snippet.mdx","_partials","mdx","429","13d9c14d8ede9aa6c3e9d26c83b875ffb0c4f26430be838ed68df2fca5fd87d0",""
"apps/docs/content/_partials/database_setup.mdx","_partials","mdx","790","8d0d5f2e783ef691eebf9cd131d96d605aca12c30a1c6daff0f1b773ae7f3c00",""
"apps/docs/content/_partials/db_pre_request_warning.mdx","_partials","mdx","1486","30926d259cf78b8ffab5f8a67a5c57167bff08355c9d80185f2414577eb5951d",""
